"open","close","resolution_days","time_step","G_menardii","G_siphonifera","O_universa","G_sacculifer","G_ruber_pink","G_ruber_white","P_obliquiloculata","N_dutertrei","G_calida","G_crassaformis","G_glutinata","G_truncatulinoides","G_bulloides","G_falconensis","sst"
2010-04-07,2010-04-14,7,1,2.57,11.71,1.43,3.71,4.86,14.57,14.86,16.57,102,0.57,9.43,6.86,10.29,0,20.82875214
2010-04-14,2010-04-21,7,2,2.86,14.86,2.29,9.71,66.86,50.86,8,18.29,114.29,9.71,12.57,76.57,16.57,0,21.41750107
2010-04-21,2010-04-28,7,3,8.57,34.29,4,22.29,100,111.43,12,18.29,61.14,7.43,10.29,6.86,1.14,0,22.66500244
2010-04-28,2010-05-05,7,4,8.57,6.29,13.14,26.86,30.29,28.57,6.29,13.14,25.14,6.29,8.57,12,0,0,23.50124893
2010-05-05,2010-05-12,7,5,0,1.43,2,4.86,3.71,4,0.57,1.71,9.71,5.71,0.29,3.71,0,0,24.73750076
2010-05-12,2010-05-19,7,6,0.57,21.14,8.57,11.43,17.14,42.86,0,3.43,41.71,4.57,6.86,5.71,0,0,25.95625076
2010-05-19,2010-05-26,7,7,0.29,4.29,2,3.14,5.71,13.71,0,0.86,20,7.71,3.43,2.57,0,0,26.77374802
2010-05-26,2010-06-02,7,8,2.29,4.29,2.57,8.29,23.43,34.57,0,3.43,24.29,6.29,4.29,1.71,0,0,27.65875397
2010-06-02,2010-06-09,7,9,0.57,4.57,1.43,4.29,18.29,31.43,0,3.43,10.57,4.57,6.86,0.57,0,0,27.92374954
2010-06-09,2010-06-16,7,10,0,4,0,2.29,13.43,11.71,0,0.29,8.29,2.86,3.14,0.29,0.29,0,28.85624847
2010-06-16,2010-06-23,7,11,0.86,4.86,2.86,6.86,25.43,25.43,0.57,1.71,18.29,2.86,2.57,0.29,0,0,30.32124863
2010-06-23,2010-06-30,7,12,0.57,7.14,0.57,4.86,15.14,23.43,0.57,2.86,20,5.71,2,0.57,0.57,0,29.69375
2010-06-30,2010-07-07,7,13,1.14,3.43,2.29,9.14,82.29,36.57,0,4.57,14.29,8.57,1.71,2.29,0,0,28.87375412
2010-07-07,2010-07-14,7,14,1.14,4,0.57,6.86,121.14,25.14,0,4.57,5.71,28,1.14,0.57,0,0,29.42249832
2010-07-14,2010-07-25,11,15,0,6.91,1.45,4.91,44.36,19.82,0,3.82,7.82,3.27,0.91,1.09,0,0,29.82499593
2010-07-25,2010-08-08,14,16,1.14,13.72,2.85,12.57,52,62,0.28,7.71,11.71,9.72,6.86,2.29,0.58,0,30.31933187
2010-07-25,2010-08-08,14,17,6.86,10.86,0.01,3.43,57.72,68.86,0.86,3.15,19.15,9.14,7.42,1.71,0,0,30.31933187
2010-08-08,2010-08-22,14,18,0.57,8.14,0.99,1.29,5.86,8,0,1.43,2.42,1.71,0.07,0,0,0,30.40266724
2010-08-08,2010-08-22,14,19,2.85,0.72,0.43,1.85,15,6.86,0,0.29,9.86,4.57,1.35,0.58,0,0,30.40266724
2010-08-22,2010-09-05,14,20,0.71,2.15,0.271190557861701,5.15,20.42,9.71,0,0.29,3.57,2.43,0.35,1.14,0,0,29.90333455
2010-08-22,2010-09-05,14,21,4.43,1.57,0.00880944213829934,1.71,9,2.29,0,1.71,1.29,5.29,0.51,0,0,0,29.90333455
2010-09-05,2010-09-19,14,22,0.57,6.29,3.99,13.71,28.85,36.29,0,0.15,4.28,0.57,1.42,0,0,0,29.26999919
2010-09-05,2010-09-19,14,23,2.85,1.71,1.15,4.57,30.57,37.43,0,0.99,2,3.43,2,0.58,0,0,29.26999919
2010-09-21,2010-09-28,7,24,2,11.43,0,4,19.71,17.71,0,4.86,8.29,0.86,11.71,0,0,0,28.99249802
2010-09-28,2010-10-05,7,25,28,4,2.86,39.43,37.71,47.43,0.57,16,5.14,0,9.14,0.57,0,0,28.40875015
2010-10-05,2010-10-12,7,26,10.86,29.14,2.29,20,43.43,42.86,2.29,23.43,10.29,2.86,29.71,1.71,0,0,27.46249924
2010-10-12,2010-10-19,7,27,11.71,16.86,3.71,9.14,36.29,23.71,4.57,20.86,12.29,4.86,8.86,0.57,0,0,26.96000061
2010-10-19,2010-10-26,7,28,58.29,16.57,6.29,17.14,29.14,15.43,5.71,20.57,8,2.86,2.29,0,0,0,26.70749435
2010-10-26,2010-11-02,7,29,104,2.29,2.29,8,30.86,38.86,10.29,17.71,6.29,0.57,1.14,1.14,0,0,26.6450058
2010-11-02,2010-11-09,7,30,21.71,24.29,1.14,10,35.43,23.43,5.14,11.43,7.43,1.71,0.86,0.29,0,0,25.95249329
2010-11-09,2010-11-16,7,31,10.86,12.86,2.29,6.57,32.29,41.43,15.43,14,4.57,0.57,2.57,0.29,0,0,25.10750351
2010-11-16,2010-11-23,7,32,45.71,21.14,1.14,16,40.57,59.43,60,25.71,5.14,0,1.71,0,0,0,24.75625
2010-11-23,2010-11-30,7,33,60.57,2.86,0,4,10.86,17.14,41.14,36.57,2.29,1.71,0,0,0,0,24.46374664
2010-11-30,2010-12-07,7,34,12.29,8.86,0.29,0.86,4.57,24.57,29.14,24.86,2.29,0.86,0.86,0.29,0,0,23.65000305
2010-12-07,2010-12-14,7,35,14.29,21.71,0,6.29,25.14,63.43,48,22.29,11.43,0.57,1.14,2.29,0,4,22.77374802
2010-12-14,2010-12-21,7,36,14.86,10.29,1.71,6.29,18.86,66.29,168.57,35.43,24.57,0.57,5.71,2.86,2.29,120.57,22.15000687
2010-12-21,2010-12-28,7,37,17.71,16,0.57,6.29,15.43,30.29,178.29,55.43,34.86,0,6.29,30.86,2.86,284,21.66125259
2010-12-28,2011-01-04,7,38,6.86,12,0.57,4,7.43,12.57,73.14,53.71,30.86,0.57,4.57,46.29,0.57,33.14,21.32249985
2011-01-04,2011-01-11,7,39,2.29,4.57,0.57,1.71,2.29,6.29,32.57,18.29,10.29,0,1.71,82.29,0,16.57,21.16500244
2011-01-11,2011-01-18,7,40,6.86,9.14,0,1.71,2.86,6.29,25.14,33.71,13.71,1.14,0.57,108.57,0.57,30.29,20.59874878
2011-01-18,2011-01-21,3,41,1.14,1.71,0,0,0,1.14,6.86,2.86,2.86,0,0,154.86,0,2.29,20.2700058
2011-01-21,2011-02-04,14,42,6,4.58,0,3.42,1.14,7.96,22.14,10.29,20.58,0,3.15,456.86,0,5.13,19.90066732
2011-01-21,2011-02-04,14,43,8.28,0,0.58,0,0,1.18,21.86,14.29,36,0.58,3.71,367.72,0,2.29,19.90066732
2011-02-04,2011-02-18,14,44,0.43,7.72,0,1.72,1.72,7.42,26.43,10,17.15,0,0.86,540.57,0.58,0.43,19.68067017
2011-02-04,2011-02-18,14,45,4.15,3.14,0,1.14,0,2.86,26.15,14,32.57,0.58,1.42,529.71,0,0.15,19.68067017
2011-02-18,2011-03-04,14,46,9.14,17.43,2,11.14,5.14,26.57,39.43,61.99,86.85,0,6.86,108.86,1.71,0.43,20.67733358
2011-02-18,2011-03-04,14,47,6.86,27.71,0.28,8.28,14.28,14.57,126.29,25.43,71.43,0,7.42,108.28,0.57,0.15,20.67733358
2011-03-04,2011-03-11,7,48,1.71,11.43,2.86,6.29,14.29,14.29,15.43,14.29,104.57,1.71,2.29,153.14,0,0,21.13250122
2011-03-11,2011-03-18,7,49,0.29,7.14,0.86,0.57,1.71,2,0.57,0.29,29.43,0,1.14,5.43,0,0.29,21.57624207
2011-03-18,2011-03-25,7,50,9.71,6.29,9.71,26.86,55.43,34.29,13.14,17.14,27.43,0.57,0,14.29,0,0,22.81249771
2011-03-25,2011-04-01,7,51,4.86,8.86,12.57,18,28.29,13.43,12.29,11.71,12.29,2.86,0.86,14.86,0.29,0,23.75500259
2011-04-01,2011-04-08,7,52,0.86,21.14,2.86,3.43,16.29,7.43,1.71,8,7.43,12.57,0.86,5.43,0,0,23.9975029
2011-04-08,2011-04-15,7,53,1.14,8.86,3.71,11.43,30.57,29.14,4.29,11.14,7.14,8.57,2,4.86,0.86,0,23.83000336
2011-04-15,2011-04-22,7,54,7.14,6.57,4.86,9.43,25.71,12.29,10.57,25.43,2,2.29,1.14,3.14,0,0,24.31500015
2011-04-22,2011-04-29,7,55,8,3.14,14.29,19.43,33.43,7.14,10.29,15.71,8,10.29,0.86,8.29,0,0,24.70124969
2011-04-29,2011-05-06,7,56,1.14,4.86,4.57,5.43,10,2.57,1.43,7.71,4.29,1.14,0,4,0,0,24.85125122
2011-05-06,2011-05-13,7,57,1.14,12.29,5.14,14.57,42.29,42,2.57,8.86,14.29,0.57,4.29,2.57,0,0,25.43125305
2011-05-13,2011-05-20,7,58,3.43,7.43,6.57,7.71,33.43,27.14,8.86,20,6.86,4.57,3.71,8.86,0,0,25.48624191
2011-05-20,2011-05-27,7,59,2.29,3.71,4.29,12.29,32.57,23.71,3.43,7.71,8.57,1.71,1.71,2.57,0,0,25.93375168
2011-05-27,2011-06-03,7,60,2.57,8,4.29,5.14,22.57,20.57,5.14,9.71,8.29,1.43,1.71,1.71,0.29,0,26.68624649
2011-06-03,2011-06-10,7,61,0.57,20.57,7.43,7.43,35.43,40.57,2.29,5.14,37.71,2.29,7.43,1.71,0,0,27.42875443
2011-06-10,2011-06-24,14,62,17.14,10,13.42,24.57,27.43,9.43,4.29,6.86,2.58,2.57,1.15,5.42,0,0,28.69333496
2011-06-10,2011-06-24,14,63,14.86,7.14,12.86,26.29,29.15,20.85,3.71,10.86,18,5.43,1.71,6,0,0,28.69333496
2011-06-24,2011-07-08,14,64,6.57,1.72,10,16.29,27.43,6.86,1.43,7.99,1.42,4,1.15,2.72,0.58,0,29.07066447
2011-06-24,2011-07-08,14,65,12.29,12,7.14,19.71,15.43,17.14,0.85,3.43,8.86,6.86,1.71,4.14,0,0,29.07066447
2011-07-08,2011-07-22,14,66,0.57,7.43,11.72,20.58,35.14,30,1.72,4.29,1.14,8.58,0.71,2.28,0,0,29.54933065
2011-07-08,2011-07-22,14,67,6.29,2.85,8.86,24,36.28,28.86,1.14,5.43,8.58,8,1.01,0,0,0,29.54933065
2011-07-22,2011-08-07,16,68,1.19,1.97,5.05,12.73,28.89,8.35,1.62,2.37,0.18,2.13,0.07,0.82,0.36,0,30.09294326
2011-07-22,2011-08-07,16,69,1.47,12.25,5.61,12.15,16.89,7.21,1.04,6.07,6.48,4.99,0.37,1.4,0.08,0,30.09294326
2011-08-07,2011-08-14,7,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.83499298
2011-08-14,2011-08-28,14,71,0.57,1.29,2.58,11.29,29.57,22.86,0.28,0.29,9.29,11.29,0.271190557861701,0.71,0,0,30.8039978
2011-08-14,2011-08-28,14,72,6.29,11.57,4.28,10.71,31.29,22.28,0,1.71,1.85,10.71,0.00880944213829934,0.15,0,0,30.8039978
2011-08-28,2011-09-11,14,73,0,15.72,2.29,33.71,50,41.43,0,0.530829811559524,1.42,2,0.29,2.29,0,0,29.90399984
2011-08-28,2011-09-11,14,74,0,26,3.99,39.43,55.72,42.57,0,0.0491701884404756,8.86,4.86,0.85,1.71,0,0,29.90399984
2011-09-11,2011-09-25,14,75,1.71,11.71,22.14,200.58,191.71,211.71,0.28,7.42,1.14,3.71,6.01,4.15,0,0,29.30199788
2011-09-11,2011-09-25,14,76,7.43,14.57,27,190.28,189.43,218.57,0.86,2.86,8.58,6.57,6.57,5.57,0,0,29.30199788
2011-09-25,2011-10-09,14,77,0.43,15.15,4.01,36.57,6,23.15,0,1.43,9.99,0.28,3.43,2.28,0,0,29.37466634
2011-09-25,2011-10-09,14,78,0.71,25.43,4.57,42.29,15.14,22.57,0,0.29,17.43,3.14,3.99,0,0,0,29.37466634
2011-10-09,2011-10-23,14,79,10.29,5.71,3.42,82.58,178.28,234.57,1.15,7.71,3.99,0.86,24.86,2.29,0,0,28.04799398
2011-10-09,2011-10-23,14,80,12.57,6.29,4,72.28,176,241.43,0.57,11.71,11.43,3.72,25.42,1.71,0,0,28.04799398
2011-10-23,2011-10-30,7,81,2.86,9.14,1.14,95.43,46.86,13.71,1.14,5.14,6.29,0.57,5.14,0,0,0,26.9599968
2011-10-30,2011-11-06,7,82,2.57,3.43,0.29,14.57,9.14,8.57,2.86,5.14,10.29,0.57,1.43,4.29,0,0,25.94624863
2011-11-06,2011-11-13,7,83,13.43,3.14,2.86,8.29,10.57,10,24.57,18.86,9.14,0.57,1.43,0.57,0,0,25.26749191
2011-11-13,2011-11-20,7,84,36,4,3.43,6.29,18.86,25.71,37.14,25.71,5.71,1.14,6.29,0,0,0,25.0774971
2011-11-20,2011-11-27,7,85,19.43,38.86,3.43,35.43,52.57,59.43,23.43,28,6.29,0,4,0,0,0,24.81374893
2011-11-27,2011-12-04,7,86,2.57,9.14,2.86,11.71,9.14,7.43,7.71,6.29,2.29,0,1.14,0,0,0,24.0149971
2011-12-04,2011-12-11,7,87,22.29,16.57,2.29,33.14,26.29,41.71,24.57,62.86,13.14,0,6.86,0,0,0.57,23.39375076
2011-12-11,2011-12-18,7,88,19.43,8.57,6.86,18.86,25.71,25.14,42.86,35.43,6.29,1.14,2.86,1.14,0,4,22.53125153
2011-12-18,2011-12-25,7,89,9.71,39.43,11.43,33.71,14.29,28.57,28,25.71,18.86,2.29,2.86,2.86,0.57,101.71,22.95499954
2011-12-25,2012-01-01,7,90,4,78.29,2.29,12,9.71,9.71,13.14,21.71,16,0.57,0.57,7.43,0,44,22.6850029
2012-01-01,2012-01-08,7,91,4.57,22.29,2.29,8.57,12,14.86,8.57,26.29,23.43,0,4.57,7.43,0,49.14,22.90500412
2012-01-08,2012-01-15,7,92,3.71,5.71,1.14,7.14,6.86,9.43,5.71,12.86,8,0,1.71,17.43,0,10,23.11249695
2012-01-15,2012-01-22,7,93,8.57,12,4,16.57,17.71,24,18.86,17.71,6.86,0.57,5.14,74.29,0,21.14,23.20625076
2012-01-22,2012-01-29,7,94,1.43,5.71,1.71,7.43,5.14,11.71,9.14,10.29,7.43,0,2.86,52.86,0,12,23.23999939
2012-01-29,2012-02-05,7,95,0.57,0.57,0,2.86,1.14,2.57,0.86,1.71,4.29,0,0.29,20.29,0,2.57,22.49500046
2012-02-05,2012-02-12,7,96,0,0.57,0,0,0.29,0.57,0.57,0.57,1.14,0,0.29,3.14,0,0.57,22.15124664
2012-02-12,2012-02-19,7,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.56124649
2012-02-19,2012-02-26,7,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.36249695
2012-02-26,2012-03-04,7,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.25749741
2012-03-04,2012-03-11,7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.08875046
