"open","close","resolution_days","time_step","G_menardii","G_siphonifera","O_universa","G_sacculifer","G_ruber_pink","G_ruber_white","P_obliquiloculata","N_dutertrei","G_calida","G_crassaformis","G_glutinata","G_truncatulinoides","G_bulloides","G_falconensis","sst"
2012-03-11,2012-03-18,7,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.37375031
2012-03-18,2012-03-27,9,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.24300232
2012-03-27,2012-04-03,7,103,2.57,10.29,2.57,8.57,8.57,2.29,1.14,7.43,28.57,2.86,0.57,37.14,0,0,24.44499741
2012-04-03,2012-04-10,7,104,12.86,19.43,5.71,6.29,5.71,4.57,3.43,6,45.43,2.29,0.86,18.86,0,0,24.26749954
2012-04-10,2012-04-17,7,105,11.43,60.57,22.86,27.43,40,50.86,8.57,18.86,81.14,2.86,8.57,44,0,0,24.66999969
2012-04-17,2012-04-24,7,106,0.86,39.43,2.86,8,27.71,23.71,0.57,5.71,27.14,2,1.71,14.29,0,0,24.56375656
2012-04-24,2012-05-01,7,107,2.86,29.71,19.43,21.14,46.86,19.43,3.43,10.29,28.57,1.71,1.14,22.29,0,0,24.61125717
2012-05-01,2012-05-08,7,108,21.71,23.43,43.43,111.43,94.29,40,24,37.14,22.29,0.57,13.71,1.71,0,0,26.51875458
2012-05-08,2012-05-15,7,109,18.86,21.14,37.14,91.43,43.43,24.57,9.71,29.14,17.14,1.14,16.57,5.71,0,0,26.79749832
2012-05-15,2012-05-22,7,110,1.71,72.29,8,5.14,14.86,7.14,0.29,10.57,34.57,10.86,3.71,4.57,0,0,26.0937439
2012-05-22,2012-05-29,7,111,1.43,17.43,2.86,4.29,12,8.29,1.14,12.86,39.71,1.43,4.57,1.14,0,0,26.54874573
2012-05-29,2012-06-05,7,112,4,24.57,18.29,22.29,48.57,21.71,1.71,10.29,27.43,12,5.71,4.57,0,0,27.53874741
2012-06-05,2012-06-12,7,113,1.71,7.71,3.14,2.57,16.29,8,0,2,11.14,0.86,1.43,0.86,0,0,27.57875214
2012-06-12,2012-06-19,7,114,3.43,13.71,9.71,16.86,26.86,14.29,0.29,2.29,22,4.86,1.14,2.57,0,0,28.0525032
2012-06-19,2012-06-26,7,115,0.57,6.29,3.71,5.14,12.29,4.29,0,1.43,9.14,6.86,1.14,4.57,0,0,27.82125244
2012-06-26,2012-07-03,7,116,1.14,4.57,2.86,24.57,58.86,78.86,0,8,6.29,3.43,5.71,1.14,0,0,28.84500275
2012-07-03,2012-07-10,7,117,6.86,14.29,20,106.86,126.29,124,0.57,28.57,13.14,0.57,10.86,1.71,0,0,29.46249924
2012-07-10,2012-07-17,7,118,0.29,0,0,1.14,2.86,2,0,0,0,0,0.29,0,0,0,29.41875229
2012-07-17,2012-07-24,7,119,0.29,0.29,1.14,2.86,5.43,5.71,0.29,0.57,1.14,0.57,1.71,0.29,0,0,29.18000183
2012-07-24,2012-07-31,7,120,0.57,8.29,3.43,8.86,12,8.86,0,0.86,6.57,1.71,1.14,0.29,0,0,29.80999908
2012-07-31,2012-08-07,7,121,1.43,13.43,2.86,9.71,30.57,22.29,0.29,4,8.57,2,0.86,0,0,0,30.29000626
2012-08-07,2012-08-14,7,122,2.86,56,15.43,53.14,138.86,96,0,10.86,50.86,23.43,3.43,5.14,0,0,30.65875015
2012-08-15,2012-08-29,14,123,1,16.86,10.57,34.28,53.14,24,0,5.14,11.71,16.86,0,1.72,0,0,30.00000203
2012-08-15,2012-08-29,14,124,1.28,27.14,7.71,40,58.86,24.58,0.58,0.58,19.15,16.28,0,1.14,0,0,30.00000203
2012-08-29,2012-09-12,14,125,0.43,7.15,5.71,74.58,73.14,28.86,0,5.42,9.43,0.86,0.14,0,0,0,29.14666748
2012-08-29,2012-09-12,14,126,4.15,2.57,6.29,64.28,78.86,27.72,0,0.86,24.85,0.28,0.44,0.58,0,0,29.14666748
2012-09-12,2012-09-26,14,127,2.57,13.43,10.29,31.43,37.43,22.86,0,0.57,11.71,1.14,4.57,1.14,0,0,28.66999919
2012-09-12,2012-09-26,14,128,0.29,23.71,7.43,37.15,38.57,22.28,0,2.85,19.15,4,0.57,0,0,0,28.66999919
2012-09-26,2012-10-10,14,129,24.29,12.57,2.29,13.71,35.14,26.57,0.28,8.29,11.71,2,0.86,1.14,0,0,28.47533569
2012-09-26,2012-10-10,14,130,26.57,9.71,3.99,4.57,36.28,14.57,0.86,12.29,19.15,4.86,1.42,0,0,0,28.47533569
2012-10-10,2012-10-24,14,131,2.57,15.43,5.14,16.86,22.28,8.29,0,2.15,3.99,2,0.71,0,0,0,28.4946696
2012-10-10,2012-10-24,14,132,8.29,25.71,5.72,20.28,10.86,19.71,0.58,5.85,11.43,0.28,1.01,0,0,0,28.4946696
2012-10-24,2012-11-07,14,133,4.86,8,2,12.86,7.15,8.43,1.57,5.71,0.57,0.271190557861701,0.86,0,0,0,27.05599772
2012-10-24,2012-11-07,14,134,7.14,0.58,0.28,3.72,18.57,19.85,2.71,1.15,8.01,0.00880944213829934,1.42,0,0,0,27.05599772
2012-11-07,2012-11-14,7,135,12,34.86,12.57,93.71,49.14,44.57,22.86,6.29,12.57,0.57,1.71,0,0,0,25.51874695
2012-11-14,2012-11-21,7,136,5.43,64.29,5.71,27.71,9.14,12.29,12,8,8.29,2.29,0.86,0,0,0,24.54375229
2012-11-21,2012-11-28,7,137,6.86,15.43,4,18.86,9.71,58.29,29.14,19.43,5.14,1.14,5.14,0,0,0,24.17250214
2012-11-28,2012-12-05,7,138,23.14,6.57,3.71,20.86,7.71,26.29,34.29,14.57,3.43,2,0.57,0,0,0,23.96750031
2012-12-05,2012-12-12,7,139,7.14,3.43,2.29,16.29,1.14,6.29,15.43,10.57,4,0.29,0.57,0,0,0,23.90374908
2012-12-12,2012-12-19,7,140,4,4.29,0,3.43,0.86,7.14,3.71,13.14,2.86,0.57,0.29,0,0,0,23.24499664
2012-12-19,2012-12-26,7,141,3.43,2.86,0,1.43,0.29,2.29,2,4.29,2.86,0,0,0,0,0,22.86124954
2012-12-26,2013-01-02,7,142,4.29,2.57,1.14,2.29,2.57,5.14,12.86,7.71,5.71,0,0.29,0.86,0,0,22.89999924
2013-01-02,2013-01-09,7,143,24.57,8.57,1.71,20.57,6.86,20,113.14,40.57,29.71,2.29,1.14,4.57,0,5.71,22.56374893
2013-01-09,2013-01-16,7,144,3.71,5.71,0.57,6,1.14,4.86,36.57,24.57,11.71,0,0,4,0.86,7.43,23.05875168
2013-01-16,2013-01-23,7,145,16.57,6.86,1.14,8.57,5.71,12.57,70.29,66.29,34.86,0,2.86,15.43,0.57,4,23.14750061
2013-01-23,2013-01-30,7,146,2.86,1.43,1.14,9.71,5.43,19.14,17.71,24.57,19.71,0.29,1.14,30,0,3.14,23.01374969
2013-01-30,2013-02-07,8,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.78666246
2013-02-07,2013-02-14,7,148,4.57,64.71,1.71,12,10.29,9.71,9.14,28.57,150,7.43,9.71,932.35,0,0,22.36249695
2013-02-14,2013-02-21,7,149,1.14,4,1.43,8.86,9.14,7.43,4.57,7.43,23.14,2.29,1.43,67.71,0,0,21.78124771
2013-02-21,2013-03-07,14,150,2.57,7.42,2.29,130.58,53.14,73.14,37.86,43.71,96.29,1.72,12.28,69.15,3.14,0.29,21.77933553
2013-02-21,2013-03-07,14,151,8.29,0,3.99,120.28,58.86,80,37.56,47.71,111.71,0,12.86,68.57,2,1.99,21.77933553
2013-03-07,2013-03-21,14,152,1.71,34.86,20.71,52.57,59.71,54,22,47.71,78.58,0.28,25.43,38.57,1.71,0.43,21.91200155
2013-03-07,2013-03-21,14,153,7.43,49.14,25.57,58.29,65.43,60.28,108.86,69.43,94,3.14,25.99,37.43,0.57,0.15,21.91200155
2013-03-21,2013-04-04,14,154,18.85,11.43,11.43,14.86,46.28,27.14,22.71,67.99,98.86,3.71,23.72,80,0.58,0,21.98866577
2013-03-21,2013-04-04,14,155,16.57,21.71,8.57,18.28,52,27.72,22.43,31.43,114.28,6.57,24.28,79.42,0,0,21.98866577
2013-04-04,2013-04-18,14,156,5.15,2.29,0.85,30.28,27.43,25.71,11.28,26.29,79.14,1.14,3.43,13.14,0,0,22.1026652
2013-04-04,2013-04-18,14,157,7.43,12.57,0.29,32,15.43,26.29,11,30.29,63.72,4,3.99,13.72,0,0,22.1026652
2013-04-18,2013-05-02,14,158,6.85,8,11.43,54.28,24.86,26.57,7,14,49.42,2,3.43,9.71,0,0,23.57933146
2013-04-18,2013-05-02,14,159,12.57,0.58,8.57,60,23.14,14.57,6.72,15.14,34,0.28,3.99,10.29,0,0,23.57933146
2013-05-02,2013-05-16,14,160,0.57,2.43,3.85,10.86,9.42,6.86,1.86,4.29,15.85,2.71,0.35,8.86,0,0.28,23.85399984
2013-05-02,2013-05-16,14,161,4.29,12.71,4.43,8,6,5.72,1.28,5.43,23.29,5.57,0.51,10.28,0,0,23.85399984
2013-05-16,2013-05-30,14,162,0.85,1.29,3.57,12.86,9.42,9.57,1.86,5.85,20.43,1.14,0.86,2.58,0,0.28,25.87866618
2013-05-16,2013-05-30,14,163,6.57,11.57,4.15,3.72,6,2.15,1.28,1.29,35.85,4,1.42,4,0,0,25.87866618
2013-05-30,2013-06-13,14,164,0.14,5.42,3.57,5.86,7.42,7.28,1.29,2.28,9.72,0.71,1.15,1.86,0,0,27.40733032
2013-05-30,2013-06-13,14,165,3.86,6,4.15,2.42,4,6.14,0.71,0,25.14,3.57,1.71,1.28,0,0,27.40733032
2013-06-13,2013-06-27,14,166,0.271190557861701,7.58,2.29,3.86,8.14,8,0.14,0.29,11,0,0.271190557861701,1.14,0,0,28.94933268
2013-06-13,2013-06-27,14,167,0.00880944213829934,3,3.99,0.42,4.72,6.86,0.72,1.13,26.42,0.58,0.00880944213829934,0,0,0,28.94933268
2013-06-27,2013-07-11,14,168,1.28,8.42,4.43,3.72,8,3.86,0.28,2.28,10.42,0.14,1.28,2.43,0,0,29.12132975
2013-06-27,2013-07-11,14,169,0.72,1,4.99,0.28,4.58,14.14,0,0,17.86,3,1.86,0.15,0.28,0,29.12132975
2013-07-11,2013-07-25,14,170,0.15,5.72,4.13,13.28,6.86,23.58,0,1.43,1.72,1.86,1.28,1.14,0,0,28.74666951
2013-07-11,2013-07-25,14,171,0.71,1.14,1.29,12.72,18.28,23,0,0.29,17.14,0.14,1.86,0,0,0,28.74666951
2013-07-25,2013-08-08,14,172,0,1.57,2.44,12,6.15,9.72,1.58,0.29,0.832942427718081,0,0.35,0,0,0.28,29.5473348
2013-07-25,2013-08-08,14,173,0,11.85,4.14,2.86,17.57,21.14,1,1.13,0.0270575722819194,0,0.51,0.58,0,0,29.5473348
2013-08-08,2013-08-22,14,174,0.271190557861701,5.72,3.57,12.29,21.57,22.57,0,0.56175186985638,2,1.72,0.72,0.15,0,0,29.61533407
2013-08-08,2013-08-22,14,175,0.00880944213829934,1.14,4.15,11.71,10.15,10.01,0.58,0.0182481301436201,17.42,0,1.28,1.85,0,0,29.61533407
2013-08-22,2013-09-05,14,176,0.43,1.72,3.28,3.71,3.86,4.43,0.28,0.29,4.14,0.271190557861701,0,1.28,0,0,28.87266642
2013-08-22,2013-09-05,14,177,0.71,1.14,0.44,9.43,13,3.29,0.86,2.57,1.86,0.00880944213829934,0,0.14,0,0,28.87266642
2013-09-05,2013-09-19,14,178,0.43,5.58,3.85,1.71,28,6.86,0,1,4.14,0.14,0.29,0,0,0,29.12333171
2013-09-05,2013-09-19,14,179,0.15,1,1.01,9.71,29.72,17.14,0,3.28,1.86,1.28,0.85,0,0,0,29.12333171
2013-09-19,2013-10-03,14,180,0.43,8.28,2,6.01,35.43,24,0,0.530829811559524,5.42,0,0.71,0,0,0,28.7793335
2013-09-19,2013-10-03,14,181,0.71,0.86,0.28,2.57,36.57,24.58,0.58,0.0491701884404756,12.86,0,1.01,0,0,0,28.7793335
2013-10-03,2013-10-17,14,182,0.15,1.15,1.72,1.86,27.57,7.43,0,4.85,9.58,1.72,0.29,0,0,0,28.26932983
2013-10-03,2013-10-17,14,183,0.71,11.43,0,9.86,25.85,18.85,0,0.29,2.14,0,0.85,0.58,0,0,28.26932983
2013-10-17,2013-10-31,14,184,0,8.14,2.29,1.43,28.86,6,0.28,0.86,1.14,0,0.14,0,0,0,26.93199666
2013-10-17,2013-10-31,14,185,5.72,0.72,3.99,9.43,16.86,16.28,0,3.14,8.58,0.58,0.44,0.58,0,0,26.93199666
2013-10-31,2013-11-14,14,186,1.28,0.14,0.99,3.58,5.42,2.86,0,0,2.20826597115956,0,0.229844372645021,0,0,0.28,25.81999715
2013-10-31,2013-11-14,14,187,0.72,0.72,0.43,0.14,2,2.28,0.58,0,0.0717340288404376,0,0.0501556273549795,0.58,0,0,25.81999715
2013-11-14,2013-11-23,9,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.69399719
2013-11-23,2013-11-30,7,189,10.29,9.43,0.29,5.43,4.86,4.29,35.43,30.29,5.43,0.29,0.86,0,0,0,24.31375275
2013-11-30,2013-12-07,7,190,4,17.71,0.57,1.14,2.86,7.43,88,48.57,13.14,0,2.86,0,0.57,0.57,23.88125
2013-12-07,2013-12-14,7,191,2.86,10.57,2,6.29,4,4,56.57,37.71,5.43,0.29,0.86,0,0,1.71,23.46249924
2013-12-14,2013-12-21,7,192,4,5.43,1.71,3.43,1.14,0.86,13.14,6.86,1.71,1.43,0,0,0,0,23.41625366
2013-12-21,2013-12-28,7,193,2.86,4,1.43,2.57,0.57,0.29,11.71,6.86,5.43,0,0,0.57,0,0,23.78000031
2013-12-28,2014-01-04,7,194,0,5.43,1.14,0.86,0.86,0.86,3.71,5.43,5.71,0,0,0.57,0,0,22.89499817
2014-01-04,2014-01-11,7,195,1.14,0.29,0.29,1.14,0,0.57,4.29,3.43,6.86,0.86,0,6,0,0,21.76750336
2014-01-11,2014-01-18,7,196,1.14,0,1.71,1.43,0.86,0.86,7.14,5.43,4,0.29,0.57,7.43,0,0.86,21.66999969
2014-01-18,2014-01-25,7,197,5.71,2.29,1.14,2.86,6.86,6.86,45.71,34.86,16,0,8,57.71,0,2.29,21.16999969
2014-01-25,2014-02-01,7,198,12.57,32,3.43,7.43,12.57,13.14,66.29,57.71,119.43,5.71,21.71,609.14,0,1.71,21.45874939
2014-02-01,2014-02-08,7,199,6.29,18.29,0,4.57,6.86,7.43,31.43,44.57,44.57,4,6.29,430.86,0,1.71,21.40500031
2014-02-08,2014-02-15,7,200,2,0.29,0,0.57,2.29,2.29,0.86,4.57,7.43,0.29,1.43,26,0,0.29,21.44000015
2014-02-15,2014-02-22,7,201,2.86,4,0,2.29,4,2.86,6.86,10.86,15.71,0.29,1.14,42,0.29,1.71,21.85749588
2014-02-22,2014-03-01,7,202,2.29,2.57,0.86,1.71,2.57,2.86,4.86,5.14,9.43,1.43,2.29,32,0,0.57,22.23125229
2014-03-01,2014-03-09,8,203,3,6,0.75,2.75,5.5,6.25,5.25,9.5,28,1,2.5,37.25,0,2.5,22.51111247
